PanelType;Cell type;Cell data;Bet ranges;Bet type;Name;Description;Connected cell 1 name;Connected cell 2 name
PreflopBtn;StatCell;PreflopData;;;Btn_RaiseIsolate_Raiser_Fold;BTN fold (raise isolate pot as raiser);Btn_RaiseIsolate_Raiser_Call;Btn_RaiseIsolate_Raiser_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_RaiseIsolate_Raiser_Call;BTN call (raise isolate pot as raiser);Btn_RaiseIsolate_Raiser_Fold;Btn_RaiseIsolate_Raiser_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_RaiseIsolate_Raiser_Raise;BTN raise (raise isolate pot as raiser);Btn_RaiseIsolate_Raiser_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_RaiseIsolate_Caller_Fold;BTN fold (raise isolate pot as caller);Btn_RaiseIsolate_Caller_Call;Btn_RaiseIsolate_Caller_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_RaiseIsolate_Caller_Call;BTN call (raise isolate pot as caller);Btn_RaiseIsolate_Caller_Fold;Btn_RaiseIsolate_Caller_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_RaiseIsolate_Caller_Raise;BTN raise (raise isolate pot as caller);Btn_RaiseIsolate_Caller_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_CC_Fold;BTN fold (3 bet pot as cold caller);Btn_3bet_CC_Call;Btn_3bet_CC_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_CC_Call;BTN call (3 bet pot as cold caller);Btn_3bet_CC_Fold;Btn_3bet_CC_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_CC_Raise;BTN raise (3 bet pot as cold caller);Btn_3bet_CC_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Fold;BTN fold (3 bet pot as raiser);Btn_3bet_Raiser_Call;Btn_3bet_Raiser_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Call;BTN call (3 bet pot as raiser);Btn_3bet_Raiser_Fold;Btn_3bet_Raiser_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Raise;BTN raise (3 bet pot as raiser);Btn_3bet_Raiser_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Vs_Sb_Fold;BTN fold (3 bet pot as raiser vs SB);Btn_3bet_Raiser_Vs_Sb_Call;Btn_3bet_Raiser_Vs_Sb_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Vs_Sb_Call;BTN call (3 bet pot as raiser vs SB);Btn_3bet_Raiser_Vs_Sb_Fold;Btn_3bet_Raiser_Vs_Sb_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Vs_Sb_Raise;BTN raise (3 bet pot as raiser vs SB);Btn_3bet_Raiser_Vs_Sb_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Vs_Bb_Fold;BTN fold (3 bet pot as raiser vs BB);Btn_3bet_Raiser_Vs_Bb_Call;Btn_3bet_Raiser_Vs_Bb_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Vs_Bb_Call;BTN call (3 bet pot as raiser vs BB);Btn_3bet_Raiser_Vs_Bb_Fold;Btn_3bet_Raiser_Vs_Bb_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Vs_Bb_Raise;BTN raise (3 bet pot as raiser vs BB);Btn_3bet_Raiser_Vs_Bb_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Vs_Multi_Fold;BTN fold (3 bet pot as raiser multiway);Btn_3bet_Raiser_Vs_Multi_Call;Btn_3bet_Raiser_Vs_Multi_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Vs_Multi_Call;BTN call (3 bet pot as raiser multiway);Btn_3bet_Raiser_Vs_Multi_Fold;Btn_3bet_Raiser_Vs_Multi_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_3bet_Raiser_Vs_Multi_Raise;BTN raise (3 bet pot as raiser multiway);Btn_3bet_Raiser_Vs_Multi_Call;
PreflopBtn;StatCell;PreflopData;;;Btn_4bet_Fold;BTN fold (4 bet pot);Btn_4bet_Call;Btn_4bet_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_4bet_Call;BTN call (4 bet pot);Btn_4bet_Fold;Btn_4bet_Raise
PreflopBtn;StatCell;PreflopData;;;Btn_4bet_Raise;BTN raise (4 bet pot);Btn_4bet_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Unopened_Fold;SB fold (unopened pot);Sb_Unopened_Call;Sb_Unopened_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Unopened_Call;SB call (unopened pot);Sb_Unopened_Fold;Sb_Unopened_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Unopened_Raise;SB raise (unopened pot);Sb_Unopened_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Fold;SB fold (limp pot);Sb_Limp_Call;Sb_Limp_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Call;SB call (limp pot);Sb_Limp_Fold;Sb_Limp_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Raise;SB raise (limp pot);Sb_Limp_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Ep_Fold;SB fold (limp pot vs EP);Sb_Limp_Vs_Ep_Call;Sb_Limp_Vs_Ep_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Ep_Call;SB call (limp pot vs EP);Sb_Limp_Vs_Ep_Fold;Sb_Limp_Vs_Ep_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Ep_Raise;SB raise (limp pot vs EP);Sb_Limp_Vs_Ep_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Mp_Fold;SB fold (limp pot vs MP);Sb_Limp_Vs_Mp_Call;Sb_Limp_Vs_Mp_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Mp_Call;SB call (limp pot vs MP);Sb_Limp_Vs_Mp_Fold;Sb_Limp_Vs_Mp_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Mp_Raise;SB raise (limp pot vs MP);Sb_Limp_Vs_Mp_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Co_Fold;SB fold (limp pot vs CO);Sb_Limp_Vs_Co_Call;Sb_Limp_Vs_Co_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Co_Call;SB call (limp pot vs CO);Sb_Limp_Vs_Co_Fold;Sb_Limp_Vs_Co_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Co_Raise;SB raise (limp pot vs CO);Sb_Limp_Vs_Co_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Btn_Fold;SB fold (limp pot vs BTN);Sb_Limp_Vs_Btn_Call;Sb_Limp_Vs_Btn_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Btn_Call;SB call (limp pot vs BTN);Sb_Limp_Vs_Btn_Fold;Sb_Limp_Vs_Btn_Raise
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Btn_Raise;SB raise (limp pot vs BTN);Sb_Limp_Vs_Btn_Call;
PreflopSb;StatCell;PreflopData;;;Sb_Limp_Vs_Multi_Fold;SB fold (limp pot multiway);Sb_Limp_Vs_Multi_Call;Sb_Limp_Vs_Multi_Raise
