Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Other players acted;Set type
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;Raise;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FourBetPot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;SqueezePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;CallRaise;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FourBetPot;CallRaise;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;Call;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;RaiseCall;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;CallCall;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;CallCall;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;RaiseRaise;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FourBetPot;RaiseRaise;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;ThreeBetPot;Call;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;ThreeBetPot;Call;Yes;PostflopGeneral
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller
SixMax;Postflop;Sb;Oop;Bb;Hu;FourBetPot;RaiseRaise;No;PostflopHuOopRaiser
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FourBetPot;AnyCall;Yes;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;FiveBetPot;AnyRaise;Any;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FiveBetPot;AnyRaise;Yes;PostflopGeneral
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller
SixMax;Postflop;Bb;Oop;Mp;Hu;LimpPot;Check;No;PostflopHuOopCaller
SixMax;Postflop;Bb;Oop;Co;Hu;LimpPot;Check;No;PostflopHuOopCaller
SixMax;Postflop;Bb;Oop;Btn;Hu;LimpPot;Check;No;PostflopHuOopCaller
SixMax;Postflop;Bb;Ip;Sb;Hu;LimpPot;Check;No;PostflopHuIpCaller
SixMax;Postflop;Bb;Any;Any;Multiway;LimpPot;Check;Yes;PostflopGeneral
SixMax;Postflop;Bb;Ip;Sb;Hu;IsolatePot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Bb;Any;Any;Hu;IsolatePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;IsolatePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Bb;Oop;Ep;Hu;RaisePot;Call;No;PostflopHuOopCaller
SixMax;Postflop;Bb;Oop;Mp;Hu;RaisePot;Call;No;PostflopHuOopCaller
SixMax;Postflop;Bb;Oop;Co;Hu;RaisePot;Call;No;PostflopHuOopCaller
SixMax;Postflop;Bb;Oop;Btn;Hu;RaisePot;Call;No;PostflopHuOopCaller
SixMax;Postflop;Bb;Ip;Sb;Hu;RaisePot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Bb;Any;Any;Multiway;RaisePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Bb;Oop;Ep;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Bb;Oop;Mp;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Bb;Oop;Co;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Bb;Oop;Btn;Hu;ThreeBetPot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Bb;Ip;Sb;Hu;ThreeBetPot;Raise;No;PostflopHuIpRaiser
SixMax;Postflop;Bb;Any;Any;Multiway;ThreeBetPot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;SqueezePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;SqueezePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;IsolatePot;Call;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;IsolatePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;RaiseIsolatePot;Raise;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;RaiseIsolatePot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;SqueezePot;Call;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;SqueezePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;FourBetPot;Raise;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;FourBetPot;Raise;Yes;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;RaiseIsolatePot;Call;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;RaiseIsolatePot;Call;Yes;PostflopGeneral
SixMax;Postflop;Bb;Ip;Sb;Hu;RaiseIsolatePot;RaiseCall;No;PostflopHuIpCaller
SixMax;Postflop;Bb;Any;Any;Hu;RaiseIsolatePot;RaiseCall;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;RaiseIsolatePot;RaiseCall;Yes;PostflopGeneral
SixMax;Postflop;Bb;Ip;Sb;Hu;FourBetPot;RaiseRaise;No;PostflopHuIpRaiser
SixMax;Postflop;Bb;Any;Any;Hu;FourBetPot;RaiseRaise;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;FourBetPot;RaiseRaise;Yes;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Hu;ThreeBetPot;Call;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;ThreeBetPot;Call;Yes;PostflopGeneral
SixMax;Postflop;Bb;Ip;Sb;Hu;FourBetPot;AnyCall;No;PostflopHuIpCaller
SixMax;Postflop;Bb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;FourBetPot;AnyCall;Yes;PostflopGeneral
SixMax;Postflop;Bb;Ip;Sb;Hu;FiveBetPot;AnyRaise;No;PostflopHuIpRaiser
SixMax;Postflop;Bb;Any;Any;Hu;FiveBetPot;AnyRaise;Any;PostflopGeneral
SixMax;Postflop;Bb;Any;Any;Multiway;FiveBetPot;AnyRaise;Yes;PostflopGeneral
SixMax;Postflop;Ep;Ip;Bb;Hu;LimpPot;Call;No;PostflopHuIpCaller
SixMax;Postflop;Ep;Any;Any;Multiway;LimpPot;Call;Yes;PostflopGeneral
SixMax;Postflop;Ep;Oop;Mp;Hu;RaisePot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Ep;Oop;Co;Hu;RaisePot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Ep;Oop;Btn;Hu;RaisePot;Raise;No;PostflopHuOopRaiser
SixMax;Postflop;Ep;Ip;Sb;Hu;RaisePot;Raise;No;PostflopHuIpRaiser
