Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Other players acted;Set type;Cell name;Stat default value;Main group dflt values;Sg1 dflt vals;Sg2 dflt vals;Sg3 dflt vals;Sg4 dflt vals
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;CvCB_T;;73.51852,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;RvCB_F;12.9577465;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;DONK_F;0.21367522;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;DONK_T;3.508772;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;DONKX_F;99.78632;60.153847,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;DONKX_T;96.49123;66.246376,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;DONKX_R;;71.92593,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;PROBE_T;54.12844;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;PROBEX_T;45.87156;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;PROBEX_R;;56.705883,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;Bet_F;0.21367522;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;Bet_T;25.913622;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;Bet_R;36.01896;60.275864,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;Check_F;99.78632;60.153847,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;Check_T;74.08638;61.369564,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;Check_R;63.98104;55.464645,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;FvBet_F;39.106144;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;FvBet_T;39.090908;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;CvBet_F;48.044693;64.19178,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;CvBet_T;50.909092;71.22857,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;CvBet_R;;69.96774,;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;Raise_F;12.9577465;;;;;
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;No;PostflopHuOopCaller;Raise_T;10.280374;;;;;
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral;Bet_F;1.6666666;;;;;
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral;Bet_T;22.115385;;;;;
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral;Check_F;98.333336;71.537315,;;;;
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral;Check_T;77.88461;75.59091,;;;;
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral;Check_R;;69.36364,;;;;
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral;FvBet_F;29.078014;;;;;
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral;CvBet_F;51.77305;74.17073,;;;;
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;Any;PostflopGeneral;Raise_F;20.149254;;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;FvCB_F;66.304344;;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;CvCB_F;29.891304;;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;RvCB_F;3.8251367;;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;DONK_F;6.763285;;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;DONKX_F;93.23672;47.52174,;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;PROBE_T;47.0297;;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;PROBEX_T;52.9703;36.204082,;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;SPROBEX_R;;26.897436,;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;Bet_F;6.763285;;;;;
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;No;PostflopHuOopCaller;Bet_T;40.501793;57.533333,;;;;
