Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Set type
SixMax;Postflop;Btn;Ip;Sb;Hu;ThreeBetPot;RaiseCall;PostflopHuIp
SixMax;Postflop;Btn;Ip;Bb;Hu;ThreeBetPot;RaiseCall;PostflopHuIp
SixMax;Postflop;Btn;Any;Any;Multiway;ThreeBetPot;RaiseCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Hu;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Btn;Any;Any;Multiway;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Sb;Oop;Bb;Hu;LimpPot;Call;PostflopHuOop
SixMax;Postflop;Sb;Any;Any;Multiway;LimpPot;Call;PostflopGeneral
SixMax;Postflop;Sb;Oop;Bb;Hu;RaisePot;Raise;PostflopHuOop
SixMax;Postflop;Sb;Any;Any;Hu;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;IsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Sb;Oop;Ep;Hu;RaisePot;Call;PostflopHuOop
SixMax;Postflop;Sb;Oop;Mp;Hu;RaisePot;Call;PostflopHuOop
SixMax;Postflop;Sb;Oop;Co;Hu;RaisePot;Call;PostflopHuOop
SixMax;Postflop;Sb;Oop;Btn;Hu;RaisePot;Call;PostflopHuOop
SixMax;Postflop;Sb;Any;Any;Multiway;RaisePot;Call;PostflopGeneral
SixMax;Postflop;Sb;Oop;Ep;Hu;ThreeBetPot;Raise;PostflopHuOop
SixMax;Postflop;Sb;Oop;Mp;Hu;ThreeBetPot;Raise;PostflopHuOop
SixMax;Postflop;Sb;Oop;Co;Hu;ThreeBetPot;Raise;PostflopHuOop
SixMax;Postflop;Sb;Oop;Btn;Hu;ThreeBetPot;Raise;PostflopHuOop
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;Raise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;ThreeBetPot;Raise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;IsolatePot;Call;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;IsolatePot;Call;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;Raise;PostflopGeneral
SixMax;Postflop;Sb;Oop;Bb;Hu;IsolatePot;CallCall;PostflopHuOop
SixMax;Postflop;Sb;Any;Any;Hu;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;IsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Sb;Oop;Bb;Hu;RaiseIsolatePot;CallRaise;PostflopHuOop
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;CallRaise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;Call;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;SqueezePot;Call;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;Raise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FourBetPot;Raise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;SqueezePot;CallCall;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;SqueezePot;CallCall;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;Call;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;Call;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;ThreeBetPot;Call;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;ThreeBetPot;Call;PostflopGeneral
SixMax;Postflop;Sb;Oop;Bb;Hu;ThreeBetPot;RaiseCall;PostflopHuOop
SixMax;Postflop;Sb;Oop;Bb;Hu;FourBetPot;RaiseRaise;PostflopHuOop
SixMax;Postflop;Sb;Any;Any;Hu;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Hu;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Sb;Any;Any;Multiway;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Bb;Oop;Ep;Hu;LimpPot;Check;PostflopHuOop
SixMax;Postflop;Bb;Oop;Mp;Hu;LimpPot;Check;PostflopHuOop
