PanelType;Cell type;Cell data;Name;Description;Connected cell 1 name;Connected cell 2 name
PreflopBb;StatsCell;PreflopData;Bb_Limp_Vs_Multi_Check;BB check limp pot multiway;Bb_Limp_Vs_Multi_Raise;
PreflopBb;StatsCell;PreflopData;Bb_Limp_Vs_Multi_Raise;BB raise limp pot multiway;Bb_Limp_Vs_Multi_Check;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Fold;BB fold raise pot;Bb_Raise_Call;Bb_Raise_Raise
PreflopBb;StatsCell;PreflopData;Bb_Raise_Call;BB call raise pot;Bb_Raise_Raise;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Raise;BB raise raise pot;Bb_Raise_Call;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Ep_Fold;BB fold raise pot vs EP;Bb_Raise_Vs_Ep_Call;Bb_Raise_Vs_Ep_Raise
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Ep_Call;BB call raise pot vs EP;Bb_Raise_Vs_Ep_Raise;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Ep_Raise;BB raise raise pot vs EP;Bb_Raise_Vs_Ep_Call;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Mp_Fold;BB fold raise pot vs MP;Bb_Raise_Vs_Mp_Call;Bb_Raise_Vs_Mp_Raise
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Mp_Call;BB call raise pot vs MP;Bb_Raise_Vs_Mp_Raise;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Mp_Raise;BB raise raise pot vs MP;Bb_Raise_Vs_Mp_Call;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Co_Fold;BB fold raise pot vs CO;Bb_Raise_Vs_Co_Call;Bb_Raise_Vs_Co_Raise
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Co_Call;BB call raise pot vs CO;Bb_Raise_Vs_Co_Raise;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Co_Raise;BB raise raise pot vs CO;Bb_Raise_Vs_Co_Call;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Btn_Fold;BB fold raise pot vs BTN;Bb_Raise_Vs_Btn_Call;Bb_Raise_Vs_Btn_Raise
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Btn_Call;BB call raise pot vs BTN;Bb_Raise_Vs_Btn_Raise;
PreflopBb;StatsCell;PreflopData;Bb_Raise_Vs_Btn_Raise;BB raise raise pot vs BTN;Bb_Raise_Vs_Btn_Call;
